Timestamp_023	Field_023	Sorb_023	Pot1k_023	PotHe3_023	Probe_Cx_023	TDO1_023	TDO2_023
137.704	17.34127	4.1339	0	0.2774	0.7195	10677555.33	5260239.547
138.159	17.33936	4.134	0	0.2774	0.7195	10677882	5259951.793
138.615	17.3369	4.134	0	0.2774	0.7195	10678172.4	5259641.602
139.071	17.33477	4.134	0	0.2774	0.7195	10678668.28	5259271.289
139.586	17.33149	4.1339	0	0.2774	0.7194	10679002.21	5259075.698
140.209	17.32909	4.1339	0	0.2774	0.7194	10679381.44	5258740.538
140.664	17.3268	4.1339	0	0.2774	0.7194	10679764.14	5258434.81
141.12	17.32445	4.1339	0	0.2774	0.7194	10680054.61	5258117.466
141.577	17.32211	4.1339	0	0.2774	0.7194	10680425.14	5258067.632
142.033	17.3202	4.134	0	0.2774	0.7194	10680544.36	5257792.405
142.488	17.31768	4.1339	0	0.2774	0.7194	10681256.52	5257522.908
143.007	17.31457	4.1339	0	0.2775	0.7193	10681538.08	5257016.105
143.626	17.31206	4.1339	0	0.2775	0.7193	10681902.44	5256893.44
144.081	17.30977	4.1339	0	0.2775	0.7193	10682285.5	5256688.515
144.536	17.30731	4.1339	0	0.2775	0.7193	10682558.7	5256421.175
144.992	17.30469	4.1339	0	0.2775	0.7193	10683066.05	5255919.72
145.674	17.30169	4.134	0	0.2775	0.7193	10683346.29	5255661.645
146.129	17.29945	4.134	0	0.2775	0.7193	10683730.94	5255573.506
146.584	17.29694	4.134	0	0.2775	0.7193	10684082.59	5255276.338
147.039	17.29481	4.1339	0	0.2775	0.7192	10684400.5	5254952.159
147.495	17.29263	4.1339	0	0.2775	0.7192	10684753.14	5254600.304
147.95	17.29001	4.1339	0	0.2775	0.7192	10685249.11	5254453.172
148.633	17.28695	4.1339	0	0.2775	0.7192	10685615.26	5254163.612
149.089	17.28444	4.1339	0	0.2775	0.7192	10685889.89	5253895.744
149.546	17.28237	4.1339	0	0.2775	0.7192	10686266.2	5253588.598
150.003	17.28002	4.1339	0	0.2776	0.7192	10686568.99	5253380.678
150.458	17.27817	4.1339	0	0.2776	0.7191	10687061.68	5253227.763
150.954	17.27467	4.1338	0	0.2776	0.7191	10687380.08	5252835.886
151.596	17.27211	4.1339	0	0.2776	0.7191	10687995.12	5252402.861
152.114	17.26889	4.1338	0	0.2776	0.7191	10688248.68	5252281.918
152.735	17.26654	4.1339	0	0.2776	0.7191	10688550.25	5251917.267
153.19	17.26408	4.1339	0	0.2776	0.7191	10689038.35	5251726.072
153.694	17.26097	4.1339	0	0.2776	0.7191	10689417.74	5251299.78
154.169	17.25857	4.1339	0	0.2776	0.719	10689844.38	5251044.407
154.585	17.2565	4.1339	0	0.2776	0.719	10690065.87	5250815.63
155.24	17.25404	4.1339	0	0.2776	0.719	10690428.17	5250569.132
155.696	17.25153	4.1339	0	0.2776	0.719	10690776.07	5250190.038
156.152	17.24929	4.1339	0	0.2776	0.719	10691290.06	5249920.556
156.836	17.24618	4.1339	0	0.2777	0.719	10691670.32	5249777.282
157.291	17.24345	4.1339	0	0.2777	0.719	10692156.47	5249483.81
157.808	17.24039	4.1339	0	0.2777	0.719	10692377.94	5249065.247
158.272	17.2381	4.1339	0	0.2777	0.7189	10692818.69	5248739.542
158.724	17.23575	4.1339	0	0.2777	0.7189	10693103.67	5248622.086
159.343	17.23357	4.1339	0	0.2777	0.7189	10693504.87	5248342.462
159.798	17.23111	4.1339	0	0.2777	0.7189	10693843.69	5248001.412
160.253	17.22877	4.1339	0	0.2777	0.7189	10694133.94	5247682.642
160.708	17.22637	4.134	0	0.2777	0.7189	10694457.9	5247672.737
161.164	17.22407	4.134	0	0.2777	0.7189	10694835.81	5247275.789
161.619	17.22183	4.134	0	0.2777	0.7189	10695140.49	5247125.43
162.075	17.21949	4.1339	0	0.2777	0.7188	10695459.72	5246724.623
162.532	17.21758	4.1339	0	0.2777	0.7188	10695811.2	5246489.278
162.987	17.21507	4.1339	0	0.2777	0.7188	10696286.84	5246445.588
163.5	17.2119	4.1339	0	0.2777	0.7188	10696668.38	5246003.601
164.126	17.20966	4.1339	0	0.2778	0.7188	10696908.35	5245649.386
164.582	17.2071	4.134	0	0.2778	0.7188	10697446.37	5245380.414
165.265	17.20399	4.134	0	0.2778	0.7188	10697747.91	5245158.181
165.72	17.20153	4.134	0	0.2778	0.7187	10698355.78	5244904.034
166.219	17.19831	4.134	0	0.2778	0.7187	10698692.77	5244414.238
166.858	17.19585	4.1339	0	0.2778	0.7187	10699019.83	5244253.229
167.314	17.19334	4.1339	0	0.2778	0.7187	10699378.77	5244012.87
167.769	17.19083	4.1339	0	0.2778	0.7187	10699713.08	5243771.313
168.225	17.18925	4.134	0	0.2778	0.7187	10699990.79	5243458.951
168.68	17.18657	4.134	0	0.2778	0.7187	10700582.9	5243095.736
169.186	17.18346	4.134	0	0.2778	0.7187	10700913.21	5242960.561
169.818	17.18106	4.134	0	0.2778	0.7186	10701279.83	5242676.619
170.274	17.17855	4.134	0	0.2778	0.7186	10701557.87	5242355.327
170.73	17.17637	4.134	0	0.2778	0.7186	10701863.89	5241967.167
171.187	17.17429	4.134	0	0.2778	0.7186	10702201.72	5241977.524
171.642	17.17211	4.134	0	0.2779	0.7186	10702552.95	5241687.452
